"","BGN_DATE","EVTYPE","COUNTY","COUNTYNAME","STATE","FATALITIES","INJURIES","LATITUDE","LONGITUDE"
"737094","3/18/2008 0:00:00","HIGH WIND",253,"TXZ253","TX",0,2,0,0
"737106","3/19/2008 0:00:00","WILDFIRE",250,"TXZ250","TX",0,1,0,0
"737164","3/30/2008 0:00:00","FLASH FLOOD",405,"SAN AUGUSTINE","TX",1,0,3136,9412
"737192","3/31/2008 0:00:00","WILDFIRE",15,"TXZ015","TX",1,0,0,0
"737296","4/7/2008 0:00:00","TORNADO",487,"WILBARGER","TX",0,1,3404,9857
"737348","4/8/2008 0:00:00","HAIL",183,"GREGG","TX",0,1,3236,9445
"737377","4/9/2008 0:00:00","TORNADO",429,"STEPHENS","TX",0,6,3243,9854
"737461","4/10/2008 0:00:00","THUNDERSTORM WIND",251,"JOHNSON","TX",0,1,3230,9712
"737497","4/10/2008 0:00:00","TORNADO",37,"BOWIE","TX",0,1,3325,9414
"737512","4/15/2008 0:00:00","WILDFIRE",253,"TXZ253","TX",0,1,0,0
"737526","4/17/2008 0:00:00","HAIL",363,"PALO PINTO","TX",0,1,3249,9807
"737838","5/2/2008 0:00:00","TORNADO",467,"VAN ZANDT","TX",0,8,3233,9552
"737842","5/2/2008 0:00:00","WILDFIRE",15,"TXZ015","TX",0,2,0,0
"738240","5/21/2008 0:00:00","THUNDERSTORM WIND",303,"LUBBOCK","TX",0,2,3336,10201
"738256","5/22/2008 0:00:00","THUNDERSTORM WIND",37,"BOWIE","TX",0,1,3325,9403
"738539","6/1/2008 0:00:00","RIP CURRENT",257,"TXZ257","TX",2,0,0,0
"738653","6/10/2008 0:00:00","RIP CURRENT",257,"TXZ257","TX",1,0,0,0
"738679","6/14/2008 0:00:00","RIP CURRENT",238,"TXZ238","TX",1,0,0,0
"738702","6/15/2008 0:00:00","THUNDERSTORM WIND",75,"CHILDRESS","TX",0,6,3425,10009
"738819","6/18/2008 0:00:00","THUNDERSTORM WIND",205,"HARTLEY","TX",0,4,3549,10219
"738820","6/18/2008 0:00:00","THUNDERSTORM WIND",205,"HARTLEY","TX",0,2,3556,10224
"738877","6/19/2008 0:00:00","THUNDERSTORM WIND",201,"HARRIS","TX",1,0,2942,9518
"739080","6/25/2008 0:00:00","LIGHTNING",201,"HARRIS","TX",0,1,2946,9523
"739170","7/8/2008 0:00:00","LIGHTNING",41,"BRAZOS","TX",0,2,3040,9622
"739183","7/13/2008 0:00:00","LIGHTNING",37,"BOWIE","TX",0,1,3319,9428
"739192","7/13/2008 0:00:00","THUNDERSTORM WIND",459,"UPSHUR","TX",0,1,3235,9452
"739199","7/15/2008 0:00:00","LIGHTNING",113,"DALLAS","TX",1,0,3237,9701
"739218","7/23/2008 0:00:00","EXCESSIVE HEAT",119,"TXZ119","TX",1,0,0,0
"739243","7/28/2008 0:00:00","EXCESSIVE HEAT",119,"TXZ119","TX",2,0,0,0
"739265","7/30/2008 0:00:00","THUNDERSTORM WIND",497,"WISE","TX",0,1,3322,9740
"739279","8/1/2008 0:00:00","EXCESSIVE HEAT",119,"TXZ119","TX",4,0,0,0
"739282","8/3/2008 0:00:00","THUNDERSTORM WIND",339,"MONTGOMERY","TX",0,1,3017,9526
"739312","12/14/2008 0:00:00","AVALANCHE",8,"UTZ008","UT",1,0,0,0
"739518","8/26/2008 0:00:00","LIGHTNING",167,"GALVESTON","TX",0,1,2924,9457
"739571","9/12/2008 0:00:00","HIGH SURF",243,"TXZ242>245 - 247","TX",1,2,0,0
"739576","9/12/2008 0:00:00","STORM SURGE/TIDE",238,"TXZ213 - 236","TX",11,0,0,0
"739709","12/8/2008 0:00:00","TORNADO",181,"GRAYSON","TX",0,1,3334,9655
"739711","12/8/2008 0:00:00","THUNDERSTORM WIND",181,"GRAYSON","TX",0,1,3333,9652
"739712","12/8/2008 0:00:00","TORNADO",181,"GRAYSON","TX",0,3,3342,9636
"739717","12/9/2008 0:00:00","WINTER WEATHER",12,"TXZ011 - 012","TX",1,0,0,0
"739759","12/27/2008 0:00:00","THUNDERSTORM WIND",139,"ELLIS","TX",0,1,3224,9651
"739760","12/27/2008 0:00:00","THUNDERSTORM WIND",293,"LIMESTONE","TX",0,2,3140,9630
"739956","7/6/2008 0:00:00","LIGHTNING",41,"SEVIER","UT",0,1,3846,11204
"740004","9/10/2008 0:00:00","FLASH FLOOD",17,"GARFIELD","UT",2,2,3735,11114
"740061","12/24/2008 0:00:00","AVALANCHE",7,"UTZ007","UT",2,0,0,0
"740079","12/30/2008 0:00:00","AVALANCHE",9,"UTZ009","UT",1,0,0,0
"740343","2/10/2008 0:00:00","HIGH WIND",43,"VAZ010 - 043","VA",0,1,0,0
"740391","3/4/2008 0:00:00","TORNADO",195,"WISE","VA",0,2,3651,8246
